"id","th_akademik_id","nilai_min","nilai_max","nilai_bobot","nilai_huruf","predikat","user_id","created_at","updated_at"
1,2,0,34,0,"E","GAGAL",8,"2018-10-02 16:18:14","2018-10-02 16:24:47"
2,2,35,54,1,"D","KURANG",8,"2018-10-02 16:24:34","2018-10-02 16:25:18"
3,2,55,69,2,"C","CUKUP",8,"2018-10-02 16:26:35","2018-10-02 16:26:50"
4,2,70,79,3,"B","BAIK",8,"2018-10-02 16:27:15","2018-10-02 16:27:15"
5,2,80,100,4,"A","SANGAT BAIK",8,"2018-10-02 16:27:35","2018-10-02 16:27:35"
6,2,10,20,2,"C+","Baik",8,"2020-02-16 13:08:38","2020-02-16 13:08:38"
7,1,10,20,1,"C","Biasa",8,"2020-03-30 01:31:35","2020-03-30 01:31:35"
